protein,biome,cluster
MGYP001313758738,unknown,2923
MGYP003146873507,unknown,2924
MGYP001317383986,unknown,2925
MGYP002616911577,unknown,2926
MGYP002756767928,unknown,2927
MGYP000935547714,unknown,2928
MGYP003496228988,unknown,2929
MGYP006236518667,unknown,2930
MGYP006376856403,unknown,2931
MGYP002799996678,unknown,2932
MGYP000749695299,unknown,2933
MGYP001623913315,unknown,2933
MGYP006050200879,unknown,2933
MGYP003502346038,unknown,2933
MGYP002754351645,unknown,2934
MGYP000844309664,unknown,2934
MGYP003547193633,unknown,2935
MGYP001451213736,unknown,2936
MGYP001563443641,unknown,2937
MGYP000419616078,unknown,2938
MGYP001361695969,unknown,2939
MGYP003789657193,unknown,2940
MGYP005850884203,unknown,2941
MGYP000328050951,unknown,2942
MGYP000518348671,unknown,2942
MGYP006286261291,unknown,2943
MGYP001451964752,unknown,2944
MGYP002786391824,unknown,1795
MGYP000600766604,unknown,2945
MGYP003320681252,unknown,2945
MGYP000844053376,unknown,2946
MGYP000787058695,unknown,2947
MGYP001403597607,unknown,2948
MGYP000775869695,unknown,2949
MGYP001189943533,unknown,2715
MGYP002139500462,unknown,2950
MGYP000940884491,unknown,2951
MGYP001044194578,unknown,2952
MGYP000995512773,unknown,2953
MGYP002724814577,unknown,2954
MGYP000965848203,unknown,2955
MGYP002114750513,unknown,2956
MGYP001166814113,unknown,2957
MGYP003323060299,unknown,2958
MGYP005783610117,unknown,2959
MGYP000772749258,unknown,1056
MGYP006085393967,unknown,2960
MGYP002713689868,unknown,2961
MGYP003992982665,unknown,2962
MGYP000313373292,unknown,2963
MGYP000588132202,unknown,2963
MGYP001556092097,unknown,2964
MGYP002830593815,unknown,2965
MGYP000766280807,unknown,2966
MGYP000414547182,unknown,2967
MGYP001400942840,unknown,2968
MGYP003324449634,unknown,2969
MGYP006079973887,unknown,2969
MGYP003195844079,unknown,200
MGYP001468262204,unknown,200
MGYP003164188386,unknown,2970
MGYP001470825754,unknown,2971
MGYP000992844506,unknown,2972
MGYP000777741069,unknown,2973
MGYP004550963803,unknown,2974
MGYP003344921960,unknown,2975
MGYP004489542367,unknown,2976
MGYP000812384860,unknown,628
MGYP000555935679,unknown,628
MGYP002713808638,unknown,628
MGYP001360462047,unknown,2977
MGYP000081397984,unknown,2978
MGYP003775603185,unknown,2979
MGYP001787225141,unknown,1990
MGYP000265902444,unknown,2980
MGYP001607612668,unknown,2981
MGYP001093023898,unknown,2982
MGYP000391159989,root:Mixed,2983
MGYP000442234238,unknown,2984
MGYP002637357608,unknown,2985
MGYP001211065602,unknown,2986
MGYP003414819036,unknown,2987
MGYP000850964073,unknown,2988
MGYP002526857028,unknown,2989
MGYP002634927668,unknown,2990
MGYP000123142881,unknown,2991
MGYP000351649742,unknown,2992
MGYP003571691573,unknown,2993
MGYP006076240085,unknown,2993
MGYP003695136663,unknown,2993
MGYP000950895441,unknown,2994
MGYP000751996329,unknown,2995
MGYP000864938021,unknown,2996
MGYP001299095974,unknown,2997
MGYP006096832187,unknown,2997
MGYP006207229697,unknown,2997
MGYP001270664216,unknown,2997
MGYP001165008826,unknown,2997
MGYP006001334309,unknown,2997
MGYP001980572654,unknown,2998
MGYP006425599395,unknown,2999
MGYP001611061225,unknown,3000
MGYP001384583465,unknown,3001
MGYP003493365496,unknown,3001
MGYP003465682604,unknown,3002
MGYP000042864041,unknown,3003
MGYP001355902951,unknown,3004
MGYP000436633547,unknown,3005
MGYP004709803575,unknown,3005
MGYP000496099406,unknown,3006
MGYP002602502786,unknown,3006
MGYP000678725138,unknown,3006
MGYP005675662425,unknown,3007
MGYP001312286734,unknown,3008
MGYP006137396265,unknown,3009
MGYP000999911094,unknown,3010
MGYP002254166749,unknown,3011
MGYP000301035742,unknown,3012
MGYP000784936787,unknown,3013
MGYP000303001846,unknown,3013
MGYP002784178387,unknown,3014
MGYP001127168041,unknown,3015
MGYP002040036818,unknown,3016
MGYP002596375582,unknown,3017
MGYP001142625247,unknown,3018
MGYP003476724184,unknown,3019
MGYP003682213223,unknown,3020
MGYP000302560236,unknown,3021
MGYP003345088831,unknown,3022
MGYP002678883616,unknown,3023
MGYP001362135830,unknown,3024
MGYP003597880083,unknown,3025
MGYP002598263691,unknown,344
MGYP001460852472,unknown,344
MGYP001169168773,unknown,3026
MGYP001245289086,unknown,3027
MGYP001205121548,unknown,3028
MGYP002801088069,unknown,3029
MGYP000321973646,unknown,3030
MGYP002683940113,unknown,3031
MGYP006100916021,unknown,3032
MGYP002652307739,unknown,3033
MGYP006131556647,unknown,3034
MGYP003891466113,unknown,3035
MGYP001130432510,unknown,3036
MGYP003623601714,unknown,3037
MGYP001351804108,unknown,3038
MGYP001201256679,unknown,3038
MGYP003988153333,unknown,3039
MGYP001132714774,unknown,3040
MGYP000618477432,unknown,3041
MGYP001360558478,unknown,1179
MGYP006216462393,unknown,1179
MGYP000772098037,unknown,1179
MGYP003218861695,unknown,3042
MGYP003595527985,unknown,3043
MGYP001799994310,unknown,3044
MGYP003572468028,unknown,3045
MGYP001175680517,unknown,3046
MGYP003969333903,unknown,3047
MGYP000742587429,unknown,3048
MGYP000783510634,unknown,3049
MGYP001132058143,unknown,3050
MGYP004665996683,unknown,3051
MGYP002010797220,unknown,3052
MGYP001426955440,unknown,3053
MGYP001230651802,unknown,3054
MGYP003254867809,unknown,3055
MGYP002513449597,unknown,3055
MGYP000913048923,unknown,3056
MGYP003494645036,unknown,3057
MGYP003452838071,unknown,3057
MGYP000276776475,unknown,3058
MGYP001064142770,unknown,3059
MGYP003135813216,unknown,3060
MGYP003288178541,unknown,3061
MGYP003504227456,unknown,3062
MGYP000822414651,unknown,1253
MGYP003123896999,unknown,3063
MGYP001643345008,unknown,3064
MGYP001607018407,unknown,3065
MGYP000942391614,unknown,3066
MGYP001026016441,unknown,3067
MGYP000018483692,unknown,3068
MGYP001527708138,unknown,3069
MGYP005715053993,unknown,3070
MGYP001605193104,unknown,3071
MGYP001583063307,unknown,3072
MGYP001600820817,unknown,3073
MGYP006084070733,unknown,3074
MGYP000519614094,unknown,3075
MGYP003527530304,unknown,3076
MGYP006188191065,unknown,3077
MGYP003329859978,unknown,3077
MGYP005735647645,unknown,3077
MGYP001508005032,unknown,3078
MGYP003129100281,unknown,3079
MGYP000794186151,unknown,3080
MGYP000192359133,unknown,3081
MGYP003483052800,unknown,3082
MGYP002712252262,unknown,3083
MGYP001143032775,unknown,3084
MGYP001151056576,unknown,3084
MGYP003985585277,unknown,3084
MGYP001266983026,unknown,3085
MGYP003417677464,unknown,3086
MGYP002131595724,unknown,3087
MGYP002583524103,unknown,3088
MGYP000208490808,unknown,3089
MGYP000988791645,unknown,3089
MGYP001485263865,unknown,3090
MGYP000756474225,unknown,3091
MGYP003483561795,unknown,3091
MGYP000206002148,unknown,3092
MGYP001590554354,unknown,3093
MGYP006119098811,unknown,3094
MGYP003992871511,unknown,3094
MGYP001490446783,unknown,3095
MGYP001659278601,unknown,3096
MGYP003493452711,unknown,3097
MGYP003508224466,unknown,3098
MGYP003454252934,unknown,3099
MGYP000910476521,unknown,3099
MGYP006335809311,unknown,3100
MGYP000127585995,unknown,3101
MGYP006437429371,unknown,3102
MGYP000290842358,unknown,3103
MGYP000911384172,unknown,3104
MGYP004497621003,unknown,3105
MGYP000153978347,unknown,3106
MGYP006073215585,unknown,3107
MGYP001308180199,unknown,3108
MGYP000321275636,unknown,3109
MGYP004666297171,unknown,3110
MGYP000849070686,unknown,3111
MGYP001092338299,unknown,3112
MGYP006306943981,unknown,3113
MGYP002768475511,unknown,3114
MGYP000977086967,unknown,3115
MGYP003560635779,unknown,3115
MGYP001529831826,unknown,3115
MGYP000094772758,unknown,291
MGYP000851189712,unknown,3116
MGYP003026535717,unknown,3117
MGYP002602185475,unknown,3118
MGYP000723021587,unknown,3119
MGYP001221746755,unknown,3120
MGYP001417069360,unknown,3120
MGYP001458514959,unknown,3121
MGYP001449788873,unknown,3122
MGYP002700751419,unknown,3123
MGYP001100905265,unknown,3124
MGYP003392079810,unknown,3125
MGYP006211567449,unknown,3126
MGYP000745100944,unknown,1192
MGYP002662919356,unknown,1192
MGYP000092652619,unknown,1192
MGYP001614857539,unknown,3127
MGYP002987039210,unknown,3128
MGYP000164356323,unknown,3129
MGYP001601700164,unknown,3130
MGYP001424997136,unknown,3130
MGYP000681896391,unknown,3131
MGYP003661999397,unknown,3132
MGYP000356934685,unknown,3133
MGYP003264143075,unknown,3134
MGYP002583224285,unknown,3135
MGYP001157585556,unknown,3136
MGYP002676906807,unknown,628
MGYP000282299318,unknown,628
MGYP001612048644,unknown,3137
MGYP004684518673,unknown,3138
MGYP000572181697,unknown,3139
MGYP002753514025,unknown,3140
MGYP003375868583,unknown,3141
MGYP004696262949,unknown,3142
MGYP001099607665,unknown,3142
MGYP002793519321,unknown,3143
MGYP003417655282,unknown,3143
MGYP001737562837,unknown,3144
MGYP000779258410,unknown,3145
MGYP003636039192,unknown,3146
MGYP001220987336,unknown,3146
MGYP003132607247,unknown,3147
MGYP003259348404,unknown,3148
MGYP003572813049,unknown,3149
MGYP001470735341,unknown,3150
MGYP005733505873,unknown,3151
MGYP002760509049,unknown,3152
MGYP000945055648,unknown,3153
MGYP000002529838,unknown,3154
MGYP001925757232,unknown,3155
MGYP000604353687,unknown,3156
MGYP003336033780,unknown,3157
MGYP001244414687,unknown,3158
MGYP000224765859,unknown,3159
MGYP000902262599,unknown,3160
MGYP001250993343,unknown,3084
MGYP003441225273,unknown,701
MGYP000339791932,unknown,701
MGYP001667282453,unknown,701
MGYP000558003508,unknown,3161
MGYP000983944125,unknown,3162
MGYP002525129976,unknown,3163
MGYP001308570627,unknown,3164
MGYP005761681375,unknown,3165
MGYP001590316700,unknown,3166
MGYP006070742229,unknown,3167
MGYP004547580851,unknown,3168
MGYP001334555485,unknown,3169
MGYP004522566017,unknown,2696
MGYP002451786025,unknown,2696
MGYP001517880361,unknown,3170
MGYP003059310548,unknown,3170
MGYP003302371821,unknown,3171
MGYP000366385866,unknown,3172
MGYP006184409245,unknown,254
MGYP004749215637,unknown,3173
MGYP001283260357,unknown,3174
MGYP000427220647,unknown,3175
MGYP001633122879,unknown,3176
MGYP001401618764,unknown,3177
MGYP006264401331,unknown,3178
MGYP000856840947,unknown,3179
MGYP001451222137,unknown,3180
MGYP005663942679,unknown,3181
MGYP002535309609,unknown,3182
MGYP000919134089,unknown,3183
MGYP002356043109,unknown,3184
MGYP003218399323,unknown,3185
MGYP006147568089,unknown,3185
MGYP000125911555,unknown,62
MGYP001044417846,unknown,3186
MGYP001100385735,unknown,1853
MGYP000588721255,unknown,3187
MGYP000867252514,unknown,3187
MGYP004627464063,unknown,3188
MGYP000424598135,unknown,3189
MGYP002745122025,unknown,3190
MGYP004468132491,unknown,3191
MGYP004732542991,unknown,3192
MGYP000923197204,unknown,3193
MGYP004509176487,unknown,3194
MGYP003273748327,unknown,1253
MGYP000202838775,unknown,1253
MGYP001124751703,unknown,3195
MGYP000835846261,unknown,3196
MGYP004527736589,unknown,3197
MGYP000437039583,unknown,3198
MGYP000249874263,unknown,3199
MGYP000194534479,unknown,3199
MGYP001979173310,unknown,3199
MGYP002649272062,unknown,3200
MGYP000996816378,unknown,3201
MGYP000081288556,unknown,3202
MGYP000549961310,unknown,3203
MGYP005792265809,unknown,3204
MGYP001451526675,unknown,3205
MGYP002518930396,unknown,3206
MGYP000231630461,unknown,3207
MGYP000396994766,unknown,2857
MGYP003170254039,unknown,3208
MGYP006419255009,unknown,3209
MGYP001484563136,unknown,3210
MGYP006158917033,unknown,3211
MGYP003378577729,unknown,3212
MGYP004637886211,unknown,3213
MGYP000710986642,unknown,3213
MGYP000561875086,unknown,3214
MGYP001300672374,unknown,3215
MGYP002650212460,unknown,3216
MGYP006271841981,unknown,3217
MGYP001625242554,unknown,3218
MGYP003534693537,unknown,3219
MGYP002671312453,unknown,3220
MGYP002029350207,unknown,3221
MGYP001170131332,unknown,3222
MGYP006281596499,unknown,3223
MGYP003615514842,unknown,3224
MGYP006266744373,unknown,3225
MGYP002762749775,unknown,3226
MGYP000481731252,unknown,3227
MGYP002591118556,unknown,3227
MGYP002640954010,unknown,3228
MGYP005890181163,unknown,3229
MGYP000865264895,unknown,3230
MGYP000467320834,unknown,108
MGYP000406289596,unknown,3231
MGYP005694132667,unknown,1556
MGYP005733661919,unknown,14
MGYP000842132180,unknown,3232
MGYP002644333571,unknown,3233
MGYP000991246195,unknown,3234
MGYP002571602382,unknown,1032
MGYP000410706367,unknown,3235
MGYP005722236935,unknown,3236
MGYP001669380491,unknown,3236
MGYP003451990178,unknown,3237
MGYP002781746166,unknown,3238
MGYP001003641565,unknown,3239
MGYP001291761196,unknown,3240
MGYP001604867069,unknown,3241
MGYP001434327141,unknown,924
MGYP004474162867,unknown,3242
MGYP000036125494,unknown,3243
MGYP001538913280,unknown,3244
MGYP003464446564,unknown,354
MGYP002870231748,unknown,354
MGYP000435490359,unknown,3245
MGYP006417361531,unknown,3246
MGYP003352097222,unknown,3247
MGYP000592667452,unknown,3248
MGYP000444864202,unknown,3249
MGYP003631793971,unknown,3250
MGYP000231380685,unknown,3251
MGYP001547864269,unknown,3251
MGYP001556496751,unknown,3251
MGYP006281025723,unknown,3252
MGYP002779042606,unknown,3253
MGYP003590837169,unknown,3254
MGYP002162166649,unknown,3254
MGYP000129356938,unknown,3255
MGYP002518352570,unknown,3256
MGYP001193929692,unknown,3257
MGYP001640417167,unknown,3258
MGYP001135363528,unknown,3258
MGYP001130613661,unknown,3259
MGYP003128159952,unknown,3260
MGYP001148344391,unknown,3261
MGYP001351918933,unknown,3262
MGYP003486703744,unknown,3263
MGYP000856434003,unknown,1533
MGYP000522499722,unknown,3264
MGYP001498896583,unknown,3265
MGYP002769103813,unknown,3266
MGYP000811730054,unknown,3267
MGYP006331856261,unknown,3268
MGYP002588367527,unknown,3268
MGYP000525773104,unknown,1687
MGYP000754814247,unknown,3269
MGYP001762941323,unknown,3270
MGYP002754959670,unknown,93
MGYP003322184391,unknown,3271
MGYP000789486275,unknown,3272
MGYP000045835011,unknown,3273
MGYP002639169827,unknown,3273
MGYP000908705376,unknown,3274
MGYP005769434135,unknown,3275
MGYP001242753658,unknown,3276
MGYP001253085271,unknown,3277
MGYP005722425893,unknown,3278
MGYP000492274668,unknown,3279
MGYP000837591452,unknown,3280
MGYP001618384548,unknown,3281
MGYP001769366772,unknown,3282
MGYP002632828296,unknown,3283
MGYP002586400114,unknown,3284
MGYP001741601108,unknown,3285
MGYP000951978405,unknown,3286
MGYP001602832073,unknown,3287
MGYP000987059000,unknown,3287
MGYP003337799140,unknown,3288
MGYP001103173573,unknown,3289
MGYP003550159887,unknown,3290
MGYP001013962660,unknown,3291
MGYP001180334826,unknown,3292
MGYP001816348039,unknown,3293
MGYP001039662803,unknown,3294
MGYP001268725894,unknown,3294
MGYP001401870106,unknown,3295
MGYP001741830091,unknown,796
MGYP002776551410,unknown,3296
MGYP001084264380,unknown,3297
MGYP001798160512,unknown,3298
MGYP001243250615,unknown,3299
MGYP003295745701,unknown,3300
MGYP001562226611,unknown,3301
MGYP000244270673,unknown,3302
MGYP003575148298,unknown,3303
MGYP001231726793,unknown,3304
MGYP003271443651,unknown,3305
MGYP001227835462,unknown,3306
MGYP002139659034,unknown,3307
MGYP002753053475,unknown,3308
MGYP002770505960,unknown,3309
MGYP003545509094,unknown,3310
MGYP004582782689,unknown,3311
MGYP001712297930,unknown,3312
MGYP003578907867,unknown,3313
MGYP000078207118,unknown,3314
MGYP001495282684,unknown,3315
MGYP002597174607,unknown,3316
MGYP006101969711,unknown,3317
MGYP001062309037,unknown,3318
MGYP000529589045,unknown,3318
MGYP002381739236,unknown,3319
MGYP003540584002,unknown,3320
MGYP002837365463,unknown,3321
MGYP002788241343,unknown,3322
MGYP006163298759,unknown,3322
MGYP001220440917,unknown,3323
MGYP006302635375,unknown,3324
MGYP003288247631,unknown,3325
MGYP001754928466,unknown,3326
MGYP005919899889,unknown,3326
MGYP001476598897,unknown,3327
MGYP003510430039,unknown,3328
MGYP003514049527,unknown,3328
MGYP001493737924,unknown,3328
MGYP001746042745,unknown,3329
MGYP000373951805,unknown,3330
MGYP002563725248,unknown,1022
MGYP000827979519,unknown,1022
MGYP000906590304,unknown,3331
MGYP000350945730,unknown,3332
MGYP000214993373,unknown,3333
MGYP005861732419,unknown,3334
MGYP003322180838,unknown,3335
MGYP001752636393,unknown,3336
MGYP000796208009,unknown,3336
MGYP000283663933,unknown,3337
MGYP000795900643,unknown,2933
MGYP001602542685,unknown,3338
MGYP005975428315,unknown,3339
MGYP001199468906,unknown,3340
MGYP000088421874,unknown,3341
MGYP000915834323,unknown,3342
MGYP002066264619,unknown,3343
MGYP000004355700,unknown,3344
MGYP002681034642,unknown,3345
MGYP006167288391,unknown,3346
MGYP000782975956,unknown,3347
MGYP001289423017,unknown,3348
MGYP002799399728,unknown,3349
MGYP003289675629,unknown,3350
MGYP003178932065,unknown,3351
MGYP001111855207,unknown,3352
MGYP006245666633,unknown,3353
MGYP006334185097,unknown,3354
MGYP002721370290,unknown,3355
MGYP003308729537,unknown,3356
MGYP000936808194,unknown,3357
MGYP001099069314,unknown,3358
MGYP000354193735,unknown,3359
MGYP003228497837,unknown,3359
MGYP000356861030,unknown,3360
MGYP002724046800,unknown,3361
MGYP000075012662,unknown,3362
MGYP001381811910,unknown,3363
MGYP001168429203,unknown,67
MGYP002727386259,unknown,3364
MGYP003108261762,unknown,3364
MGYP000413224914,unknown,3365
MGYP004564016727,unknown,3366
MGYP000963979560,unknown,3367
MGYP002518792650,unknown,3368
MGYP001625353396,unknown,3368
MGYP001530303793,unknown,3368
MGYP002626579598,unknown,3368
MGYP003280585795,unknown,3369
MGYP006250151023,unknown,3370
MGYP002637817078,unknown,3370
MGYP001288506039,unknown,3371
MGYP003190921663,unknown,3372
MGYP001420966971,unknown,3373
MGYP001307607057,unknown,3374
MGYP000441607938,unknown,3375
MGYP003528263443,unknown,3375
MGYP000815440692,unknown,3376
MGYP003170702186,unknown,3376
MGYP005839938787,unknown,3377
MGYP001181395907,unknown,3378
MGYP001326681351,unknown,3379
MGYP001448219595,unknown,3380
MGYP001565998845,unknown,3381
MGYP001768396831,unknown,3382
MGYP000738064882,unknown,3383
MGYP000815355856,unknown,3383
MGYP000514609476,unknown,3384
MGYP003344923255,unknown,3385
MGYP000948728480,unknown,18
MGYP003425001352,unknown,18
MGYP000910642323,unknown,18
MGYP003558946237,unknown,3386
MGYP000699715629,unknown,3387
MGYP001758954440,unknown,3388
MGYP004604169113,unknown,3389
MGYP005606890825,unknown,2535
MGYP003295788803,unknown,3390
MGYP003309266775,unknown,3391
MGYP006205486249,unknown,3392
MGYP001477330965,unknown,3393
MGYP003327389871,unknown,3394
MGYP000837655212,unknown,224
MGYP001044047132,unknown,3395
MGYP000971529140,unknown,3396
MGYP001065268293,unknown,3397
MGYP001138385915,unknown,3398
MGYP001548405583,unknown,3398
MGYP002829524945,unknown,3398
MGYP001566138465,unknown,3399
MGYP006371753831,unknown,3399
MGYP003227073077,unknown,3400
MGYP003191632306,unknown,1063
MGYP000612462166,unknown,3401
MGYP002590557866,unknown,3402
MGYP001306914851,unknown,3403
MGYP001792904114,unknown,3404
MGYP001070589002,unknown,3405
MGYP000744368425,unknown,3406
MGYP001411893106,unknown,3407
MGYP001638947553,unknown,3408
MGYP001063655313,unknown,3409
MGYP001402801816,unknown,3410
MGYP001079337870,unknown,269
MGYP000305629456,unknown,269
MGYP001022765661,unknown,3411
MGYP003533495455,unknown,3412
MGYP004545267943,unknown,3413
MGYP000592520446,unknown,3414
MGYP005707186021,unknown,3415
MGYP006054573447,unknown,3416
MGYP000995293900,unknown,3417
MGYP000082257599,unknown,27
MGYP001533284375,unknown,27
MGYP002581610655,unknown,27
MGYP001333599848,unknown,27
MGYP003436023934,unknown,3418
MGYP001481952836,unknown,3419
MGYP004647984547,unknown,3420
MGYP005911010993,unknown,3421
MGYP000383464075,unknown,3422
MGYP002956197444,unknown,3423
MGYP002352835322,unknown,3424
MGYP000545835382,unknown,3425
MGYP002378535035,unknown,3426
MGYP006224361835,unknown,3427
MGYP002580614673,unknown,3428
MGYP002508524067,unknown,3429
MGYP002866044632,unknown,3430
MGYP003768737545,unknown,3430
MGYP000776576105,unknown,3431
MGYP001745538867,unknown,764
MGYP006087745479,unknown,3432
MGYP006093283945,unknown,3433
MGYP005844658397,unknown,3434
MGYP001427725867,unknown,3435
MGYP000920832821,unknown,3436
MGYP002656732604,unknown,3437
MGYP004627220885,unknown,3438
MGYP001739148115,unknown,3439
MGYP001232219317,unknown,3440
MGYP001343288142,unknown,3441
MGYP003565612519,unknown,3442
MGYP002738875993,unknown,3443
MGYP001402332570,unknown,1199
MGYP001246863173,unknown,3444
MGYP001241585826,unknown,3445
MGYP004458790889,unknown,3446
MGYP002315452242,unknown,2229
MGYP000973019436,unknown,2229
MGYP001363411194,unknown,3447
MGYP001362776065,unknown,3448
MGYP003416080962,unknown,3449
MGYP004557042793,unknown,3450
MGYP002547656198,unknown,3451
MGYP002328020725,unknown,1566
MGYP000961347664,unknown,3452
MGYP000888113599,unknown,3453
MGYP001776655513,unknown,3453
MGYP005827456419,unknown,3454
MGYP002626322136,unknown,3455
MGYP002583162069,unknown,3456
MGYP000706497151,unknown,3457
MGYP000820950848,unknown,3458
MGYP003414000057,unknown,3459
MGYP006360732071,unknown,3460
MGYP001807744674,unknown,3461
MGYP003522518083,unknown,3462
MGYP000274050870,unknown,3463
MGYP000178338075,unknown,732
MGYP000124723268,unknown,732
MGYP000328214674,unknown,732
MGYP001164080871,unknown,3464
MGYP003309995189,unknown,3465
MGYP001349566890,unknown,3466
MGYP000217149633,unknown,3467
MGYP001792596564,unknown,3468
MGYP001060635797,unknown,3469
MGYP003544005643,unknown,3469
MGYP006301892081,unknown,3470
MGYP001420783856,unknown,3471
MGYP002053302843,unknown,3472
MGYP002741425426,unknown,3473
MGYP002633491785,unknown,3474
MGYP000996595269,unknown,3475
MGYP000950631897,unknown,3475
MGYP006190978389,unknown,3476
MGYP002790039915,unknown,3477
MGYP003337442897,unknown,3478
MGYP005858909853,unknown,3479
MGYP000750853673,unknown,2640
MGYP002856434055,unknown,3480
MGYP006427093265,unknown,3481
MGYP000871790289,unknown,3482
MGYP002770979309,unknown,3483
MGYP005767192623,unknown,3483
MGYP002781913266,unknown,3484
MGYP006143244485,unknown,3485
MGYP003244453579,unknown,3486
MGYP000809738088,unknown,3487
MGYP001319856805,unknown,3488
MGYP001777536512,unknown,3489
MGYP003544458537,unknown,3490
MGYP000263939114,unknown,3491
MGYP000550867858,unknown,3491
MGYP004498606491,unknown,956
MGYP001299412160,unknown,3492
MGYP003493490486,unknown,3493
MGYP000900734167,unknown,3494
MGYP001200145378,unknown,3495
MGYP002783979455,unknown,3496
MGYP003465022664,unknown,3497
MGYP003424562114,unknown,3497
MGYP005910017541,unknown,3498
MGYP003584467882,unknown,3498
MGYP001146013292,unknown,3499
MGYP004605219799,unknown,3500
MGYP000645926496,unknown,3501
MGYP003155250092,unknown,3502
MGYP002289245314,unknown,3503
MGYP005835693849,unknown,3504
MGYP001188644941,unknown,3505
MGYP001490853866,unknown,3506
MGYP003605298803,unknown,3507
MGYP000112228267,unknown,3508
MGYP002703206933,unknown,91
MGYP002785604914,unknown,3509
MGYP005833903449,unknown,3510
MGYP001450336420,unknown,3511
MGYP001318172536,unknown,3512
MGYP002641177686,unknown,3513
MGYP003476118140,unknown,3514
MGYP000204745586,unknown,3515
MGYP005855251863,unknown,3516
MGYP000234765099,unknown,3517
MGYP000883462070,unknown,3518
MGYP000923337287,unknown,1241
MGYP001302905618,unknown,269
MGYP000739341218,unknown,269
MGYP001141039424,unknown,269
MGYP000808482194,unknown,3519
MGYP001512630203,unknown,3520
MGYP000767332680,unknown,3521
MGYP004049357775,unknown,3522
MGYP000352737476,unknown,3523
MGYP000963157620,unknown,1018
MGYP003584697064,unknown,3524
MGYP000597814682,unknown,3525
MGYP004635649611,unknown,3526
MGYP001421500620,unknown,3527
MGYP000111165496,unknown,3528
MGYP001320567612,unknown,324
MGYP004530397127,unknown,3529
MGYP002754825427,unknown,3530
MGYP002902134415,unknown,3531
MGYP001291111314,unknown,79
MGYP001506650859,unknown,3532
MGYP005843168085,unknown,3533
MGYP002645500601,unknown,265
MGYP003273739451,unknown,265
MGYP001063576695,unknown,244
MGYP006358731857,unknown,3534
MGYP006082433067,unknown,3535
MGYP001610792169,unknown,3536
MGYP001345674617,unknown,3537
MGYP002734065348,unknown,3538
MGYP001316808190,unknown,3539
MGYP002539164796,unknown,3540
MGYP005784148861,unknown,1578
MGYP001773381685,unknown,1578
MGYP006169032621,unknown,3541
MGYP000065532956,unknown,3542
MGYP000411750552,unknown,3543
MGYP003229195443,unknown,3544
MGYP000429420684,unknown,3545
MGYP003577291205,unknown,3546
MGYP001325513216,unknown,3547
MGYP003302831610,unknown,3548
MGYP006200265253,unknown,3549
MGYP003508049278,unknown,3550
MGYP002796527501,unknown,2255
MGYP001798039183,unknown,3551
MGYP001606796485,unknown,269
MGYP003428218515,unknown,269
MGYP003386379536,unknown,269
MGYP004675732923,unknown,3552
MGYP003527882135,unknown,3553
MGYP000530503514,unknown,3554
MGYP001166768120,unknown,3555
MGYP001090667869,unknown,3556
MGYP006145935749,unknown,3557
MGYP003109425793,unknown,3558
MGYP003309217723,unknown,973
MGYP003443559511,unknown,973
MGYP002525608321,unknown,973
MGYP001060087868,unknown,973
MGYP000614939975,unknown,3559
MGYP001412657292,unknown,3560
MGYP003488864379,unknown,3561
MGYP001093744724,unknown,3562
MGYP001026817551,unknown,3563
MGYP001317504267,unknown,3564
MGYP000522129360,unknown,3565
MGYP003268384337,unknown,3565
MGYP000661164377,unknown,3565
MGYP006202097679,unknown,299
MGYP002785405630,unknown,3566
MGYP003233638837,unknown,3567
MGYP000803481344,unknown,3568
MGYP000181166223,unknown,3569
MGYP006112142363,unknown,3570
MGYP000246463185,unknown,3571
MGYP000776360044,unknown,3572
MGYP006270996827,unknown,3573
MGYP001744271934,unknown,3574
MGYP003327172687,unknown,3575
MGYP001442879522,unknown,3576
MGYP001049284207,unknown,3576
MGYP000986092096,unknown,754
MGYP003281650655,unknown,754
MGYP001490566625,unknown,3577
MGYP001549389920,unknown,3578
MGYP001097195071,unknown,3578
MGYP003519597734,unknown,3579
MGYP000381108144,unknown,3580
MGYP001310896417,unknown,3581
MGYP001263085743,unknown,3582
MGYP001507618806,unknown,3583
MGYP002654278467,unknown,3584
MGYP001817440287,unknown,3584
MGYP001484752576,unknown,3584
MGYP003565120124,unknown,3584
MGYP003428248220,unknown,3585
MGYP000059857359,unknown,3585
MGYP002789833457,unknown,3586
MGYP003391069436,unknown,3586
MGYP003312648035,unknown,3587
MGYP004640907479,unknown,3588
MGYP003347164071,unknown,3589
MGYP000237716767,unknown,3590
MGYP003612015898,unknown,3591
MGYP003572212397,unknown,3592
MGYP000272037206,unknown,3593
MGYP003829994493,unknown,3594
MGYP003559926017,unknown,3595
MGYP001190907497,unknown,3596
MGYP000946909732,unknown,3597
MGYP001457679265,unknown,3598
MGYP001534140978,unknown,3598
MGYP001616269741,unknown,628
MGYP003111944471,unknown,3599
MGYP003179463621,unknown,3600
MGYP000401653878,unknown,3601
MGYP001367144365,unknown,3602
MGYP003487003884,unknown,3603
MGYP005876065489,unknown,3604
MGYP000621252911,unknown,3605
MGYP000537227116,unknown,3606
MGYP006376253329,unknown,2551
MGYP003240418011,unknown,3607
MGYP002294199278,unknown,3607
MGYP000282538243,unknown,3608
MGYP002523395358,unknown,3608
MGYP005690208585,unknown,3609
MGYP003379204819,unknown,3610
MGYP003619269564,unknown,3611
